file,SM_file_cloc,SM_file_lloc,SM_file_loc,SM_file_mccc,SM_file_pda,SM_file_pua,BUGFIX_count
archiva-modules/archiva-base/archiva-repository-layer/src/main/java/org/apache/maven/archiva/repository/RepositoryContentFactory.java,0.0,136.0,207.0,13.0,2.0,6.0,0
archiva-modules/archiva-base/archiva-indexer/src/main/java/org/apache/archiva/indexer/util/SearchUtil.java,0.0,8.0,34.0,1.0,1.0,1.0,0
archiva-modules/archiva-base/archiva-consumers/archiva-database-consumers/src/main/java/org/apache/maven/archiva/consumers/database/ProjectModelToDatabaseConsumer.java,0.0,247.0,353.0,18.0,1.0,8.0,0
archiva-modules/archiva-base/archiva-repository-layer/src/main/java/org/apache/maven/archiva/repository/project/ProjectModelReader.java,0.0,9.0,37.0,1.0,1.0,1.0,0
archiva-modules/archiva-base/archiva-repository-layer/src/main/java/org/apache/maven/archiva/repository/project/resolvers/ManagedRepositoryProjectResolver.java,0.0,36.0,70.0,2.0,1.0,2.0,0
archiva-cli/src/main/java/org/apache/maven/archiva/cli/ArtifactCountConsumer.java,0.0,48.0,96.0,1.0,1.0,6.0,0
archiva-cli/src/main/java/org/apache/maven/archiva/cli/ProjectReaderConsumer.java,0.0,75.0,127.0,3.0,1.0,8.0,0
archiva-modules/archiva-base/archiva-artifact-converter/src/main/java/org/apache/maven/archiva/converter/artifact/ArtifactConverter.java,0.0,13.0,59.0,1.0,4.0,0.0,0
archiva-modules/archiva-base/archiva-artifact-converter/src/main/java/org/apache/maven/archiva/converter/artifact/LegacyToDefaultConverter.java,0.0,549.0,688.0,71.0,1.0,3.0,0
archiva-modules/archiva-database/src/main/java/org/apache/maven/archiva/database/ArtifactDAO.java,0.0,17.0,70.0,1.0,2.0,4.0,0
archiva-modules/archiva-database/src/main/java/org/apache/maven/archiva/database/RepositoryProblemDAO.java,0.0,12.0,63.0,1.0,2.0,2.0,0
archiva-modules/archiva-reporting/archiva-artifact-reports/src/main/java/org/apache/maven/archiva/reporting/artifact/LocationArtifactsConsumer.java,0.0,227.0,362.0,15.0,2.0,9.0,0
archiva-modules/archiva-web/archiva-applet/src/main/java/org/apache/maven/archiva/applet/ChecksumApplet.java,0.0,101.0,145.0,8.0,1.0,2.0,0
archiva-modules/archiva-web/archiva-xmlrpc/archiva-xmlrpc-services/src/main/java/org/apache/archiva/web/xmlrpc/services/AdministrationServiceImpl.java,0.0,313.0,431.0,36.0,10.0,1.0,0
archiva-modules/archiva-base/archiva-consumers/archiva-lucene-consumers/src/main/java/org/apache/archiva/consumers/lucene/LuceneCleanupRemoveIndexedConsumer.java,0.0,149.0,211.0,9.0,1.0,10.0,0
archiva-modules/archiva-base/archiva-indexer/src/main/java/org/apache/archiva/indexer/search/SearchResultHit.java,0.0,109.0,172.0,6.0,1.0,18.0,0
archiva-modules/archiva-base/archiva-indexer/src/main/java/org/apache/archiva/indexer/search/SearchResults.java,0.0,46.0,92.0,1.0,3.0,7.0,0
archiva-modules/archiva-base/archiva-consumers/archiva-core-consumers/src/main/java/org/apache/maven/archiva/consumers/core/repository/RepositoryPurgeConsumer.java,0.0,133.0,217.0,7.0,1.0,12.0,0
archiva-modules/archiva-web/archiva-rss/src/main/java/org/apache/archiva/rss/processor/NewVersionsOfArtifactRssFeedProcessor.java,0.0,64.0,122.0,3.0,2.0,6.0,0
archiva-modules/archiva-base/archiva-repository-layer/src/main/java/org/apache/maven/archiva/repository/audit/AuditLog.java,0.0,24.0,61.0,2.0,2.0,0.0,0
archiva-modules/archiva-web/archiva-security/src/main/java/org/apache/maven/archiva/security/ArchivaXworkUser.java,0.0,31.0,65.0,4.0,1.0,1.0,0
archiva-modules/archiva-base/archiva-consumers/archiva-database-consumers/src/main/java/org/apache/maven/archiva/consumers/database/BytecodeStatsToDatabaseConsumer.java,0.0,39.0,93.0,1.0,1.0,7.0,0
archiva-modules/archiva-base/archiva-consumers/archiva-database-consumers/src/main/java/org/apache/maven/archiva/consumers/database/DatabaseCleanupRemoveProjectConsumer.java,0.0,104.0,180.0,6.0,1.0,10.0,0
archiva-modules/archiva-base/archiva-consumers/archiva-database-consumers/src/main/java/org/apache/maven/archiva/consumers/database/VerifyMetadataAgainstDatabaseConsumer.java,0.0,39.0,93.0,1.0,1.0,7.0,0
archiva-modules/archiva-database/src/main/java/org/apache/maven/archiva/database/updater/ArchivaArtifactConsumer.java,0.0,12.0,83.0,1.0,5.0,0.0,0
archiva-modules/archiva-database/src/main/java/org/apache/maven/archiva/database/updater/DatabaseCleanupConsumer.java,0.0,5.0,32.0,1.0,1.0,0.0,0
archiva-modules/archiva-database/src/main/java/org/apache/maven/archiva/database/updater/DatabaseUnprocessedArtifactConsumer.java,0.0,5.0,32.0,1.0,1.0,0.0,0
archiva-modules/archiva-database/src/main/java/org/apache/maven/archiva/database/updater/ProcessArchivaArtifactClosure.java,0.0,35.0,68.0,3.0,0.0,0.0,0
archiva-modules/archiva-reporting/archiva-artifact-reports/src/main/java/org/apache/maven/archiva/reporting/artifact/DuplicateArtifactsConsumer.java,0.0,151.0,231.0,10.0,1.0,10.0,0
archiva-modules/archiva-base/archiva-configuration/src/main/java/org/apache/maven/archiva/configuration/DefaultArchivaConfiguration.java,0.0,531.0,744.0,86.0,1.0,11.0,0
archiva-modules/archiva-base/archiva-configuration/src/main/java/org/apache/maven/archiva/configuration/MavenProxyPropertyLoader.java,0.0,102.0,153.0,8.0,1.0,2.0,0
archiva-modules/archiva-base/archiva-policies/src/main/java/org/apache/maven/archiva/policies/PropagateErrorsOnUpdateDownloadPolicy.java,0.0,55.0,103.0,4.0,1.0,6.0,0
archiva-modules/archiva-web/archiva-webapp/src/main/java/org/apache/maven/archiva/web/action/admin/repositories/AbstractManagedRepositoriesAction.java,0.0,77.0,129.0,9.0,1.0,2.0,0
archiva-modules/archiva-base/archiva-converter/src/main/java/org/apache/maven/archiva/converter/legacy/DefaultLegacyRepositoryConverter.java,0.0,55.0,106.0,2.0,1.0,1.0,0
archiva-modules/archiva-base/archiva-converter/src/main/java/org/apache/maven/archiva/converter/legacy/LegacyConverterArtifactConsumer.java,0.0,103.0,162.0,3.0,1.0,13.0,0
archiva-modules/archiva-base/archiva-converter/src/main/java/org/apache/maven/archiva/converter/legacy/LegacyRepositoryConverter.java,0.0,11.0,48.0,1.0,2.0,0.0,0
archiva-modules/archiva-base/archiva-policies/src/main/java/org/apache/maven/archiva/policies/PropagateErrorsDownloadPolicy.java,0.0,67.0,120.0,5.0,1.0,6.0,0
archiva-modules/archiva-reporting/archiva-project-reports/src/main/java/org/apache/maven/archiva/reporting/project/ProjectDependenciesConsumer.java,0.0,46.0,101.0,1.0,1.0,8.0,0
archiva-modules/archiva-web/archiva-webapp/src/main/java/org/apache/maven/archiva/web/action/admin/legacy/LegacyArtifactPathAction.java,0.0,50.0,98.0,1.0,1.0,5.0,0
archiva-modules/archiva-web/archiva-xmlrpc/archiva-xmlrpc-security/src/main/java/org/apache/archiva/web/xmlrpc/security/ServiceMethodsPermissionsMapping.java,0.0,42.0,80.0,1.0,1.0,0.0,0
