file,SM_file_cloc,SM_file_lloc,SM_file_loc,SM_file_mccc,SM_file_pda,SM_file_pua,BUGFIX_count
src/java/org/apache/ivy/Ivy.java,0.0,593.0,956.0,28.0,27.0,46.0,0
src/java/org/apache/ivy/Ivy14.java,0.0,378.0,485.0,10.0,1.0,57.0,0
src/java/org/apache/ivy/ant/AddPathTask.java,0.0,64.0,104.0,4.0,1.0,12.0,0
src/java/org/apache/ivy/ant/AntBuildTrigger.java,0.0,107.0,171.0,11.0,1.0,9.0,0
src/java/org/apache/ivy/ant/AntCallTrigger.java,0.0,75.0,130.0,8.0,1.0,7.0,0
src/java/org/apache/ivy/ant/AntMessageLogger.java,0.0,70.0,137.0,4.0,2.0,5.0,0
src/java/org/apache/ivy/ant/IvyAntSettings.java,0.0,269.0,370.0,31.0,3.0,26.0,0
src/java/org/apache/ivy/ant/IvyAntVariableContainer.java,0.0,63.0,108.0,8.0,0.0,0.0,0
src/java/org/apache/ivy/ant/IvyArtifactProperty.java,0.0,62.0,98.0,6.0,1.0,6.0,0
src/java/org/apache/ivy/ant/IvyArtifactReport.java,0.0,223.0,284.0,21.0,2.0,5.0,2
src/java/org/apache/ivy/ant/IvyBuildList.java,0.0,399.0,569.0,53.0,3.0,27.0,0
src/java/org/apache/ivy/ant/IvyBuildNumber.java,0.0,214.0,283.0,35.0,1.0,17.0,1
src/java/org/apache/ivy/ant/IvyCacheFileset.java,0.0,95.0,156.0,15.0,1.0,4.0,0
src/java/org/apache/ivy/ant/IvyCachePath.java,0.0,40.0,75.0,5.0,2.0,3.0,0
src/java/org/apache/ivy/ant/IvyCacheTask.java,0.0,72.0,103.0,9.0,1.0,0.0,0
src/java/org/apache/ivy/ant/IvyCheck.java,0.0,54.0,99.0,7.0,2.0,5.0,0
src/java/org/apache/ivy/ant/IvyCleanCache.java,0.0,41.0,87.0,6.0,3.0,3.0,0
src/java/org/apache/ivy/ant/IvyConfigure.java,0.0,97.0,157.0,7.0,1.0,18.0,0
src/java/org/apache/ivy/ant/IvyConvertPom.java,0.0,48.0,78.0,6.0,1.0,5.0,0
src/java/org/apache/ivy/ant/IvyDeliver.java,0.0,313.0,423.0,31.0,1.0,26.0,0
