file,SM_file_cloc,SM_file_lloc,SM_file_loc,SM_file_mccc,SM_file_pda,SM_file_pua,BUGFIX_count
archiva-cli/src/main/java/org/apache/maven/archiva/cli/AbstractProgressConsumer.java,0.0,30.0,64.0,2.0,1.0,3.0,0
archiva-cli/src/main/java/org/apache/maven/archiva/cli/ArchivaCli.java,0.0,201.0,286.0,13.0,1.0,2.0,0
archiva-cli/src/main/java/org/apache/maven/archiva/cli/ArtifactCountConsumer.java,0.0,48.0,97.0,1.0,1.0,6.0,0
archiva-cli/src/main/java/org/apache/maven/archiva/cli/ProjectReaderConsumer.java,0.0,73.0,126.0,3.0,1.0,8.0,0
archiva-modules/archiva-base/archiva-converter/src/main/java/org/apache/maven/archiva/converter/RepositoryConversionException.java,0.0,13.0,40.0,1.0,1.0,2.0,0
archiva-modules/archiva-base/archiva-converter/src/main/java/org/apache/maven/archiva/converter/legacy/DefaultLegacyRepositoryConverter.java,0.0,53.0,105.0,2.0,1.0,1.0,0
archiva-modules/archiva-base/archiva-converter/src/main/java/org/apache/maven/archiva/converter/legacy/LegacyConverterArtifactConsumer.java,0.0,103.0,163.0,3.0,1.0,13.0,0
archiva-modules/archiva-base/archiva-converter/src/main/java/org/apache/maven/archiva/converter/legacy/LegacyRepositoryConverter.java,0.0,11.0,49.0,1.0,2.0,0.0,0
archiva-modules/archiva-base/archiva-artifact-converter/src/main/java/org/apache/maven/archiva/converter/artifact/ArtifactConversionException.java,0.0,20.0,51.0,1.0,1.0,4.0,0
archiva-modules/archiva-base/archiva-artifact-converter/src/main/java/org/apache/maven/archiva/converter/artifact/ArtifactConverter.java,0.0,12.0,59.0,1.0,4.0,0.0,0
archiva-modules/archiva-base/archiva-artifact-converter/src/main/java/org/apache/maven/archiva/converter/artifact/LegacyToDefaultConverter.java,0.0,551.0,691.0,72.0,1.0,3.0,0
archiva-modules/archiva-base/archiva-artifact-converter/src/main/java/org/apache/maven/archiva/converter/artifact/Messages.java,0.0,39.0,72.0,3.0,1.0,3.0,0
archiva-modules/archiva-base/archiva-common/src/main/java/org/apache/maven/archiva/common/ArchivaException.java,0.0,13.0,41.0,1.0,1.0,2.0,0
archiva-modules/archiva-base/archiva-common/src/main/java/org/apache/maven/archiva/common/utils/BaseFile.java,0.0,62.0,106.0,2.0,1.0,11.0,0
archiva-modules/archiva-base/archiva-common/src/main/java/org/apache/maven/archiva/common/utils/DateUtil.java,0.0,86.0,131.0,8.0,1.0,4.0,0
archiva-modules/archiva-base/archiva-common/src/main/java/org/apache/maven/archiva/common/utils/PathUtil.java,0.0,53.0,108.0,8.0,3.0,2.0,0
archiva-modules/archiva-base/archiva-common/src/main/java/org/apache/maven/archiva/common/utils/Slf4JPlexusLogger.java,0.0,79.0,131.0,6.0,1.0,21.0,0
archiva-modules/archiva-base/archiva-common/src/main/java/org/apache/maven/archiva/common/utils/VersionComparator.java,0.0,171.0,261.0,29.0,1.0,4.0,0
archiva-modules/archiva-base/archiva-common/src/main/java/org/apache/maven/archiva/common/utils/VersionUtil.java,0.0,106.0,205.0,8.0,4.0,4.0,3
archiva-modules/archiva-base/archiva-configuration/src/main/java/org/apache/maven/archiva/configuration/ArchivaConfiguration.java,0.0,14.0,83.0,1.0,7.0,0.0,0
archiva-modules/archiva-base/archiva-configuration/src/main/java/org/apache/maven/archiva/configuration/ConfigurationEvent.java,0.0,45.0,78.0,5.0,1.0,4.0,0
